Experiment_no,Maintenance (%),No of robs in main,list of main_robs,Duration of Main,q,Period_duration,Working_Period,Total_periods,No_of_robots,No_of_chargers,No_of_sensors,No_of_non_nav_tasks,No_of_nav_task,Charging_time,Ebat,Edod,Emax,Robot_Speed,Dist_change_max,Gamma_Matrix,E_Balance_Zero,Priority,TCM,TCM_obj1,TCM_obj2,TCM_obj2_weighted,TCM_total_cost,total_cost_LP,TCM_Total_tasks,TCM_task_downtime,TCM_TA%,TCM_run_time_with_LP,TCM_run_time_without_LP,TCM_EEF,TCM_SoC_v,run_time_LP,,TCM_rand_main_obj1,TCM_rand_main_obj2,TCM_rand_main_obj2_weighted,TCM_rand_main_total_cost,TCM_rand_main_Total_tasks,TCM_rand_main_task_downtime,TCM_rand_main_TA%,TCM_rand_main_run_time,TCM_rand_main_EEF,TCM_rand_main_SoC_v,,Rand_Alloc_rand_main_obj1,Rand_Alloc_rand_main_obj2,Rand_Alloc_rand_main_obj2_weighted,Rand_Alloc_rand_main_total_cost,Rand_Alloc_rand_main_Total_tasks,Rand_Alloc_rand_main_task_downtime,Rand_Alloc_rand_main_TA%,Rand_Alloc_rand_main_run_time,Rand_Alloc_rand_main_EEF,Rand_Alloc_rand_main_SoC_v
0,0.3,6,"[0, 6, 5, 7, 4, 3]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 90, 1: 72, 2: 68, 3: 92, 4: 52, 5: 101, 6: 61, 7: 99}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.032541495,922.4438671,1042.443867,-8.14E-11,1830,120,0.93442623,24.92574596,1.922672987,1.156729135,514.539051,0,,92,6.786836012,1552.488738,1644.488738,1830,92,0.949726776,2.040479422,1.164406321,1317.899957,,254,12.64063482,2891.545215,3145.545215,1830,254,0.861202186,1.301569939,1.641447437,3035.582656
1,0.3,6,"[0, 1, 7, 4, 6, 5]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 61, 1: 46, 2: 58, 3: 86, 4: 102, 5: 74, 6: 69, 7: 105}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,80,4.592905005,1050.62702,1130.62702,-1.35E-11,1830,80,0.956284153,25.13990712,1.969470501,1.155610675,678.2537284,0,,61,6.429146978,1470.667371,1531.667371,1830,61,0.966666667,2.083038092,1.152534359,1424.566051,,254,12.43817191,2845.231825,3099.231825,1830,254,0.861202186,1.285905838,1.721253384,3261.211634
2,0.3,6,"[1, 0, 5, 3, 6, 4]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 56, 1: 86, 2: 45, 3: 89, 4: 59, 5: 102, 6: 76, 7: 78}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.415702265,1010.091893,1130.091893,2.84E-11,1830,120,0.93442623,28.83390832,1.890806913,1.174645266,488.8932418,0,,97,7.906216159,1808.546946,1905.546946,1830,97,0.946994536,2.036461592,1.168933104,1460.150028,,276,12.21021153,2793.085887,3069.085887,1830,276,0.849180328,1.293517351,1.699556093,3378.89403
3,0.3,6,"[4, 2, 1, 7, 0, 5]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 105, 1: 75, 2: 105, 3: 41, 4: 50, 5: 80, 6: 103, 7: 82}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,75,4.448104028,1017.503797,1092.503797,-6.16E-11,1830,75,0.959016393,25.36237311,1.879989624,1.170490995,541.4484911,0,,41,5.529739212,1264.927845,1305.927845,1830,41,0.977595628,2.074154377,1.164918774,1004.341346,,278,13.29754357,3041.813091,3319.813091,1830,278,0.848087432,1.325126886,1.670968896,3177.89759
4,0.3,6,"[1, 7, 2, 0, 6, 5]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 81, 1: 45, 2: 110, 3: 72, 4: 60, 5: 81, 6: 109, 7: 95}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,100,4.910857064,1123.358553,1223.358553,3.91E-11,1830,100,0.945355191,50.32900572,1.840600252,1.172088109,982.4380947,0,,107,6.540314017,1496.096831,1603.096831,1830,107,0.941530055,2.076427937,1.189059966,1191.124692,,253,11.86999919,2715.262315,2968.262315,1830,253,0.861748634,1.278722525,1.724178583,3194.366449
5,0.3,6,"[0, 1, 7, 2, 4, 3]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 49, 1: 97, 2: 43, 3: 110, 4: 99, 5: 91, 6: 64, 7: 104}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,95,4.399418098,1006.36689,1101.36689,-1.32E-10,1830,95,0.948087432,24.93751431,1.775112629,1.172531532,817.899045,0,,77,7.166004153,1639.22345,1716.22345,1830,77,0.957923497,2.050619602,1.163210424,1585.854916,,237,12.55386359,2871.696297,3108.696297,1830,237,0.870491803,1.31089282,1.679019086,3009.632178
6,0.3,6,"[2, 3, 5, 1, 0, 4]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 102, 1: 94, 2: 55, 3: 88, 4: 109, 5: 49, 6: 60, 7: 42}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,101,4.906434884,1122.34698,1223.34698,-2.60E-11,1830,101,0.944808743,25.04498839,1.775467634,1.164757952,904.9632652,0,,60,6.932217585,1585.744773,1645.744773,1830,60,0.937213115,2.061357975,1.161956098,1373.021942,,263,12.36311946,2828.063577,3091.063577,1830,263,0.856284153,1.272726059,1.756296972,2990.049438
7,0.3,6,"[4, 7, 6, 2, 1, 3]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 73, 1: 69, 2: 51, 3: 71, 4: 104, 5: 79, 6: 75, 7: 83}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.590946287,1050.178963,1170.178963,-1.11E-10,1830,120,0.93442623,26.74677515,1.793199301,1.183029331,574.6925582,0,,83,5.783767526,1323.036822,1406.036822,1830,83,0.954644809,2.094805479,1.174666201,1007.672123,,228,12.89882336,2950.605843,3178.605843,1830,228,0.875409836,1.294929504,1.707138255,3196.626428
8,0.3,6,"[5, 1, 2, 6, 7, 0]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 44, 1: 66, 2: 107, 3: 56, 4: 64, 5: 58, 6: 75, 7: 51}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.476496701,1023.99862,1143.99862,4.35E-12,1830,120,0.93442623,84.60063505,1.704313278,1.180384063,558.0303312,0,,99,6.589530679,1507.355143,1606.355143,1830,99,0.945901639,2.022636175,1.182857768,1141.444766,,255,13.86381825,3171.348425,3426.348425,1830,255,0.860655738,1.319718838,1.659474405,3170.493166
9,0.3,6,"[0, 3, 7, 6, 4, 1]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 107, 1: 54, 2: 80, 3: 86, 4: 45, 5: 88, 6: 94, 7: 39}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.259621623,974.3884464,1094.388446,-7.62E-11,1830,120,0.93442623,24.98106146,1.707270622,1.16736533,573.6742303,0,,53,6.550382005,1498.399884,1551.399884,1830,53,0.931038251,2.042969465,1.161691697,1365.050888,,238,12.34531925,2823.991779,3061.991779,1830,238,0.869945355,1.328796625,1.735362384,3172.980805
